id,name,description,price,category,test_min,test_max
229,Воблер Megabass Giant Dog-X,Крупный поппер для зрелищных поклёвок.,1950,Воблеры,,
230,Воблер Jackall Rerange 110,Высокотехнологичный воблер с магнитной системой дальнего заброса.,1800,Воблеры,,
231,Воблер Daiwa Lezard 85SP,Суспендер с реалистичной формой малька.,1350,Воблеры,,
232,Воблер Googan Squad Scout 4.0,Плавающий воблер с шумовой камерой.,980,Воблеры,,
233,"Виброхвост Keitech Fat Swing Impact 4.8"" (10 шт)",Широкое тело и мощная игра для крупного хищника.,1150,Приманки,,
234,"Твистер Relax Twister 3"" (10 шт)",Миниатюрный твистер для окуня и форели.,480,Приманки,,
235,"Слаг Kosadaka Diesel Slug 4"" (8 шт)",Пассивная приманка для ловли пассивного хищника.,510,Приманки,,
236,"Силикон Berkley PowerBait MaxScent Flat Worm 4.25"" (6 шт)","Плоский червь с запахом, привлекающий рыбу.",920,Приманки,,
237,"Виброхвост Bass Assassin Turbo Shad 5"" (8 шт)",Крупный виброхвост с интенсивной игрой.,790,Приманки,,
238,"Силиконовый рак Keitech Sexy Impact 3"" (6 шт)",Реалистичная имитация рака для джига.,880,Приманки,,
239,Поролоновая рыбка Акелла 8см (5 шт),Крупная поролонка для трофейного судака.,460,Приманки,,
240,"Силиконовая креатура Geecrack Bellows Gill 4.8"" (6 шт)",Увеличенная имитация лягушки для летней ловли.,1050,Приманки,,
241,Колебалка Atom 15г,Легендарная советская колебалка с широкой игрой.,420,Блесны,,
242,Вертушка Mepps Aglia Long №3 медь,Дальнобойная вращалка с медным лепестком.,470,Блесны,,
243,Колебалка Abu Garcia Pike 25г,Тяжёлая колебалка для глубинной ловли щуки.,820,Блесны,,
244,Блесна Acme Little Cleo 10г,Универсальная колебалка для форели и окуня.,410,Блесны,,
245,Балансир Nils Master Jigging Shad 5см 12г,Финский балансир с объёмной игрой.,850,Балансиры,,
246,Балансир Striker Turbo 4см 10г,Компактный балансир для окуня.,520,Балансиры,,
247,Мормышка диск 0.4г вольфрам,Плоская мормышка для безмотыльной ловли.,100,Мормышки,,
248,Плетеный шнур Shimano Kairiki 8 0.10мм 150м,Восьмижильная плетёнка с высокой абразивостойкостью.,1690,Лески и шнуры,,
